player_name,age,nationality,team_name,start_year,end_year,appearances,league_name,image_url
Nicky Devlin,32,Scotland,Aberdeen FC,2023,2025,69,Premiership,https://img.a.transfermarkt.technology/portrait/medium/148215-1624630376.jpg?lm=1
Simon Murray,33,Scotland,Dundee FC,2024,2025,42,Premiership,https://img.a.transfermarkt.technology/portrait/medium/177130-1549632038.jpg?lm=1
Simon Murray,25,Scotland,Dundee FC,2017,2017,31,Premiership,https://img.a.transfermarkt.technology/portrait/medium/177130-1549632038.jpg?lm=1
Graeme Shinnie,34,Scotland,Aberdeen FC,2022,2025,84,Premiership,https://img.a.transfermarkt.technology/portrait/medium/95950-1697115814.jpg?lm=1
Graeme Shinnie,26,Scotland,Aberdeen FC,2015,2018,136,Premiership,https://img.a.transfermarkt.technology/portrait/medium/95950-1697115814.jpg?lm=1
Paul McGinn,35,Scotland,Motherwell FC,2022,2025,76,Premiership,https://img.a.transfermarkt.technology/portrait/medium/120070-1612224411.jpg?lm=1
Ben Brannan,18,Scotland,Kilmarnock FC,2025,2025,8,Premiership,https://img.a.transfermarkt.technology/portrait/medium/1049906-1758477931.jpg?lm=1
Oliver Antman,24,Finland,Rangers,2025,2025,8,Premiership,https://img.a.transfermarkt.technology/portrait/medium/527896-1753438658.jpg?lm=1
Bojan Miovski,26,North Macedonia,Rangers,2025,2025,8,Premiership,https://img.a.transfermarkt.technology/portrait/medium/476219-1611947628.jpeg?lm=1
Elijah Just,25,New Zealand,Motherwell FC,2025,2025,8,Premiership,https://img.a.transfermarkt.technology/portrait/medium/485672-1664568890.jpg?lm=1
Anthony Ralston,26,Scotland,Celtic,2015,2025,101,Premiership,https://img.a.transfermarkt.technology/portrait/medium/388171-1505468211.jpg?lm=1
Kieran Tierney,28,Scotland,Celtic,2025,2025,8,Premiership,https://img.a.transfermarkt.technology/portrait/medium/300716-1662666488.jpg?lm=1
Kieran Tierney,21,Scotland,Celtic,2014,2018,97,Premiership,https://img.a.transfermarkt.technology/portrait/medium/300716-1662666488.jpg?lm=1
Jayden Meghoma,19,England,Rangers,2025,2025,8,Premiership,https://img.a.transfermarkt.technology/portrait/medium/954104-1725051533.jpg?lm=1
Marko Lazetić,21,Serbia,Aberdeen FC,2025,2025,8,Premiership,https://img.a.transfermarkt.technology/portrait/medium/698548-1665512796.jpg?lm=1
Miguel Chaiwa,21,Zambia,Hibernian FC,2025,2025,8,Premiership,https://img.a.transfermarkt.technology/portrait/medium/956604-1709712402.jpg?lm=1
Mahamadou Susoho,20,Spain,Livingston FC,2025,2025,8,Premiership,https://img.a.transfermarkt.technology/portrait/medium/895074-1699384922.jpg?lm=1
Nikolaj Möller,23,Sweden,Dundee United,2025,2025,8,Premiership,https://img.a.transfermarkt.technology/portrait/medium/606389-1721331230.png?lm=1
Adam Montgomery,23,Scotland,Livingston FC,2025,2025,8,Premiership,https://img.a.transfermarkt.technology/portrait/medium/757272-1628516504.jpg?lm=1
Will Ferry,24,Ireland,Dundee United,2024,2025,38,Premiership,https://img.a.transfermarkt.technology/portrait/medium/504856-1754561016.jpg?lm=1
Mohamed Diomandé,24,Cote d'Ivoire,Rangers,2023,2025,47,Premiership,https://img.a.transfermarkt.technology/portrait/medium/658531-1718179984.jpg?lm=1
Emile Acquah,25,England,Dundee FC,2025,2025,8,Premiership,https://img.a.transfermarkt.technology/portrait/medium/662538-1727020357.jpg?lm=1
Warren O'Hora,26,Ireland,Hibernian FC,2024,2025,35,Premiership,https://img.a.transfermarkt.technology/portrait/medium/449020-1757442051.jpg?lm=1
Jesper Karlsson,27,Sweden,Aberdeen FC,2025,2025,8,Premiership,https://img.a.transfermarkt.technology/portrait/medium/367992-1739281929.jpg?lm=1
Elton Kabangu,27,Belgium,Heart of Midl.,2024,2025,19,Premiership,https://img.a.transfermarkt.technology/portrait/medium/396847-1714469068.png?lm=1
Kevin Nisbet,28,Scotland,Aberdeen FC,2024,2025,35,Premiership,https://img.a.transfermarkt.technology/portrait/medium/360661-1756665902.jpg?lm=1
Regan Charles-Cook,28,Grenada,Motherwell FC,2025,2025,8,Premiership,https://img.a.transfermarkt.technology/portrait/medium/385635-1705581929.jpg?lm=1
Robbie Muirhead,29,Scotland,Livingston FC,2025,2025,8,Premiership,https://img.a.transfermarkt.technology/portrait/medium/193885-1757465706.jpg?lm=1
Raphael Sallinger,29,Austria,Hibernian FC,2025,2025,8,Premiership,https://img.a.transfermarkt.technology/portrait/medium/225360-1722941132.jpg?lm=1
Mark O'Hara,29,Scotland,St. Mirren,2022,2025,89,Premiership,https://img.a.transfermarkt.technology/portrait/medium/235780-1624546973.jpg?lm=1
Nicky Cadden,29,Scotland,Hibernian FC,2024,2025,32,Premiership,https://img.a.transfermarkt.technology/portrait/medium/291177-1757441926.jpg?lm=1
Joe Rothwell,30,England,Rangers,2025,2025,8,Premiership,https://img.a.transfermarkt.technology/portrait/medium/183293-1640254532.jpg?lm=1
Rory McKenzie,32,Scotland,Kilmarnock FC,2022,2025,78,Premiership,https://img.a.transfermarkt.technology/portrait/medium/177550-1624880438.jpg?lm=1
Rory McKenzie,26,Scotland,Kilmarnock FC,2012,2020,235,Premiership,https://img.a.transfermarkt.technology/portrait/medium/177550-1624880438.jpg?lm=1
Rory McKenzie,16,Scotland,Kilmarnock FC,2010,2010,1,Premiership,https://img.a.transfermarkt.technology/portrait/medium/177550-1624880438.jpg?lm=1
Alexander Schwolow,33,Germany,Heart of Midl.,2025,2025,8,Premiership,https://img.a.transfermarkt.technology/portrait/medium/93763-1726351593.jpg?lm=1
Derek Cornelius,27,Canada,Rangers,2025,2025,7,Premiership,https://img.a.transfermarkt.technology/portrait/medium/328609-1618857970.jpg?lm=1
Youssef Chermiti,21,Portugal,Rangers,2025,2025,7,Premiership,https://img.a.transfermarkt.technology/portrait/medium/670688-1708426195.jpg?lm=1
Sebastian Tounekti,23,Tunisia,Celtic,2025,2025,7,Premiership,https://img.a.transfermarkt.technology/portrait/medium/539677-1626781687.jpg?lm=1
Djenairo Daniels,23,Suriname,Kilmarnock FC,2025,2025,7,Premiership,https://img.a.transfermarkt.technology/portrait/medium/596400-1683374173.jpg?lm=1
Trey Samuel-Ogunsuyi,18,Belgium,Falkirk,2025,2025,7,Premiership,https://img.a.transfermarkt.technology/portrait/medium/1081159-1729176755.jpg?lm=1
Lewis Neilson,22,Scotland,Falkirk,2025,2025,7,Premiership,https://img.a.transfermarkt.technology/portrait/medium/652633-1622032603.jpg?lm=1
Nasser Djiga,22,Burkina Faso,Rangers,2025,2025,7,Premiership,https://img.a.transfermarkt.technology/portrait/medium/862297-1743575220.jpg?lm=1
Johnny Kenny,22,Ireland,Celtic,2024,2025,11,Premiership,https://img.a.transfermarkt.technology/portrait/medium/875208-1758813655.jpg?lm=1
Roland Idowu,23,Ireland,St. Mirren,2024,2025,33,Premiership,https://img.a.transfermarkt.technology/portrait/medium/626334-1757766062.jpg?lm=1
Leighton Clarkson,24,England,Aberdeen FC,2022,2025,96,Premiership,https://img.a.transfermarkt.technology/portrait/medium/470606-1697115918.jpg?lm=1
