player_name,age,nationality,team_name,start_year,end_year,appearances,league_name,image_url
Jesús Ramírez,27,Venezuela,Nacional,2025,2025,11,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/419936-1689097936.jpg?lm=1
Gaizka Larrazabal,27,Spain,Casa Pia,2023,2025,75,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/439465-1568024290.png?lm=1
Paulinho Bóia,27,Brazil,Nacional,2024,2025,26,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/544895-1641123568.png?lm=1
João Carvalho,28,Portugal,Estoril,2024,2025,39,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/258005-1541149759.JPG?lm=1
João Carvalho,25,Portugal,Estoril,2022,2022,29,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/258005-1541149759.JPG?lm=1
Jaume Grau,28,Spain,Avs FS,2024,2025,40,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/340864-1448530794.jpg?lm=1
Sidney Lima,28,Brazil,Santa Clara,2024,2025,42,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/657155-1729963121.jpg?lm=1
Fredrik Aursnes,29,Norway,Benfica,2022,2025,101,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/223367-1737497700.jpg?lm=1
José Gomes,29,Portugal,Nacional,2024,2025,39,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/305946-1500043002.jpg?lm=1
Gil Dias,29,Portugal,Famalicão,2024,2025,41,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/329723-1709021301.png?lm=1
Gil Dias,23,Portugal,Famalicão,2020,2020,31,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/329723-1709021301.png?lm=1
Nélson Oliveira,34,Portugal,Vit. Guimarães,2023,2025,57,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/72768-1696346309.png?lm=1
André Geraldes,34,Portugal,Casa Pia,2023,2025,53,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/154319-1653327686.png?lm=1
Renan Ribeiro,35,Brazil,Estrela Amadora,2025,2025,11,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/95142-1713107249.jpg?lm=1
Joel Robles,35,Spain,Estoril,2024,2025,40,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/101118-1698420821.JPG?lm=1
Cassiano,36,Brazil,Casa Pia,2024,2025,37,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/238367-1705756565.jpg?lm=1
Renato Nhaga,18,Guinea-Bissau,Casa Pia,2024,2025,13,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Gustavo Varela,20,Portugal,Gil Vicente,2025,2025,10,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/931900-1704275488.jpg?lm=1
Kévin Boma,22,Togo,Estoril,2024,2025,39,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/709727-1724848643.jpg?lm=1
Mathias de Amorim,20,Portugal,Famalicão,2024,2025,34,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Beni,23,Angola,Vit. Guimarães,2025,2025,10,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Telmo Arcanjo,24,Cape Verde,Vit. Guimarães,2024,2025,38,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/791528-1695206920.jpg?lm=1
Rodrigo Zalazar,26,Uruguay,Braga,2023,2025,61,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/606752-1657108824.jpg?lm=1
