player_name,age,nationality,team_name,start_year,end_year,appearances,league_name
Evan Mooney,17.0,Scotland,St. Mirren,2024,2025,12,Premiership
Nedim Bajrami,26.0,Albania,Rangers,2024,2025,30,Premiership
Marcelo Saracchi,27.0,Uruguay,Celtic,2025,2025,5,Premiership
Filip Lissah,20.0,England,Falkirk,2025,2025,5,Premiership
Kyrell Wilson,20.0,England,Falkirk,2025,2025,5,Premiership
Billy Koumetio,22.0,France,Dundee FC,2024,2025,23,Premiership
Sabah Kerjota,24.0,Albania,Heart of Midl.,2025,2025,5,Premiership
Ante Palaversa,25.0,Croatia,Aberdeen FC,2024,2025,31,Premiership
Stephen Welsh,25.0,Scotland,Motherwell FC,2025,2025,5,Premiership
Kofi Balmer,25.0,Northern Ireland,Motherwell FC,2024,2025,25,Premiership
Yan Dhanda,26.0,England,Dundee FC,2025,2025,5,Premiership
Callum Slattery,26.0,England,Motherwell FC,2021,2025,87,Premiership
Danilo,26.0,Brazil,Rangers,2023,2025,36,Premiership
Shane Blaney,26.0,Ireland,Livingston FC,2025,2025,5,Premiership
Callum Hendry,27.0,Scotland,Motherwell FC,2025,2025,5,Premiership
Jamie Brandon,27.0,Scotland,Kilmarnock FC,2025,2025,5,Premiership
Sivert Heltne Nilsen,34.0,Norway,Aberdeen FC,2024,2025,31,Premiership
Ryan McGowan,36.0,Australia,Livingston FC,2025,2025,5,Premiership
Graham Carey,36.0,Ireland,Livingston FC,2025,2025,5,Premiership
Findlay Curtis,19.0,Scotland,Rangers,2024,2025,7,Premiership
Oscar Priestman,22.0,Australia,Motherwell FC,2025,2025,4,Premiership
Shin Yamada,25.0,Japan,Celtic,2025,2025,4,Premiership
Zac Williams,21.0,Wales,Kilmarnock FC,2025,2025,4,Premiership
Connor Allan,21.0,Scotland,Falkirk,2025,2025,4,Premiership
Emmanuel Gyamfi,21.0,Germany,Aberdeen FC,2025,2025,4,Premiership
Detlef Esapa Osong,21.0,England,Motherwell FC,2025,2025,4,Premiership
Samson Lawal,21.0,Nigeria,Livingston FC,2025,2025,4,Premiership
Samson Lawal,19.0,Nigeria,Livingston FC,2023,2023,2,Premiership
Tom Sparrow,22.0,Wales,Motherwell FC,2024,2025,31,Premiership
Lyall Cameron,23.0,Scotland,Rangers,2025,2025,4,Premiership
Hyun-jun Yang,23.0,"Korea, South",Celtic,2023,2025,48,Premiership
Ethan Ross,24.0,Scotland,Falkirk,2025,2025,4,Premiership
Kristijan Trapanovski,26.0,North Macedonia,Dundee United,2024,2025,28,Premiership
Élie Youan,26.0,France,Hibernian FC,2022,2025,79,Premiership
Kusini Yengi,26.0,Australia,Aberdeen FC,2025,2025,4,Premiership
Scott Tiffoney,27.0,Scotland,Kilmarnock FC,2025,2025,4,Premiership
Kelechi Iheanacho,29.0,Nigeria,Celtic,2025,2025,4,Premiership
Frankie Kent,29.0,England,Heart of Midl.,2023,2025,48,Premiership
Jordan Smith,30.0,England,Hibernian FC,2024,2025,24,Premiership
Scott Tanser,31.0,England,St. Mirren,2021,2025,113,Premiership
Cristian Montano,33.0,Colombia,Livingston FC,2025,2025,4,Premiership
Cristian Montano,31.0,Colombia,Livingston FC,2021,2023,52,Premiership
Zander Clark,33.0,Scotland,Heart of Midl.,2022,2025,54,Premiership
Colby Donovan,19.0,Scotland,Celtic,2025,2025,3,Premiership
James Wilson,18.0,Scotland,Heart of Midl.,2024,2025,23,Premiership
Pierre Landry Kabore,24.0,Burkina Faso,Heart of Midl.,2025,2025,3,Premiership
Cyriel Dessers,30.0,Nigeria,Rangers,2023,2025,63,Premiership
Owen Stirton,18.0,Scotland,Dundee United,2024,2025,4,Premiership
Ethan Schilte-Brown,20.0,Canada,Kilmarnock FC,2025,2025,3,Premiership
Fraser Taylor,22.0,Scotland,St. Mirren,2025,2025,3,Premiership
Fraser Taylor,19.0,Scotland,St. Mirren,2022,2022,2,Premiership
Charlie Reilly,23.0,Scotland,Dundee FC,2023,2025,14,Premiership
Gavin Molloy,24.0,Ireland,Aberdeen FC,2024,2025,22,Premiership
Tunmise Sobowale,26.0,Ireland,St. Mirren,2025,2025,3,Premiership
Auston Trusty,27.0,United States,Celtic,2024,2025,23,Premiership
Kyle Magennis,27.0,Scotland,Kilmarnock FC,2023,2025,23,Premiership
Tom Lowery,27.0,England,Kilmarnock FC,2025,2025,3,Premiership
Liam Donnelly,29.0,Northern Ireland,St. Mirren,2025,2025,3,Premiership
Sam Hart,29.0,England,Falkirk,2025,2025,3,Premiership
Marley Watkins,35.0,Wales,Kilmarnock FC,2023,2025,60,Premiership
Andrew Shinnie,36.0,Scotland,Livingston FC,2025,2025,3,Premiership
Andrew Shinnie,33.0,Scotland,Livingston FC,2021,2023,84,Premiership
Fletcher Boyd,17.0,Scotland,Aberdeen FC,2024,2025,3,Premiership
César Garza,20.0,Mexico,Dundee FC,2024,2025,10,Premiership
Adam Idah,24.0,Ireland,Celtic,2023,2025,42,Premiership
Miller Thomson,21.0,Scotland,Dundee United,2024,2025,16,Premiership
Miller Thomson,16.0,Scotland,Dundee United,2021,2021,1,Premiership
Joshua Brenet,31.0,Curacao,Livingston FC,2025,2025,2,Premiership
Kenan Bilalovic,20.0,Sweden,Aberdeen FC,2025,2025,2,Premiership
Tobi Oluwayemi,22.0,England,Kilmarnock FC,2025,2025,2,Premiership
Aaron Donnelly,22.0,Northern Ireland,Dundee FC,2023,2025,29,Premiership
Kai Fotheringham,22.0,Scotland,Dundee United,2024,2025,17,Premiership
Kai Fotheringham,19.0,Scotland,Dundee United,2022,2022,7,Premiership
Kai Fotheringham,17.0,Scotland,Dundee United,2020,2020,1,Premiership
Dane Murray,22.0,Scotland,Celtic,2025,2025,2,Premiership
Ethan Ingram,22.0,England,Dundee FC,2024,2025,25,Premiership
Eddie Beach,22.0,Wales,Kilmarnock FC,2025,2025,2,Premiership
Paulo Bernardo,23.0,Portugal,Celtic,2023,2025,44,Premiership
Shayden Morris,23.0,England,Aberdeen FC,2022,2025,56,Premiership
Emmanuel Fernandez,23.0,England,Rangers,2025,2025,2,Premiership
Ageu,23.0,Brazil,Heart of Midl.,2025,2025,2,Premiership
Tyreece John-Jules,24.0,England,Kilmarnock FC,2025,2025,2,Premiership
Malik Dijksteel,24.0,Netherlands,St. Mirren,2025,2025,2,Premiership
Ester Sokler,26.0,Slovenia,Aberdeen FC,2023,2025,45,Premiership
Alistair Johnston,27.0,Canada,Celtic,2022,2025,72,Premiership
Aidan Nesbitt,28.0,Scotland,Falkirk,2025,2025,2,Premiership
Kieran Dowell,28.0,England,Rangers,2023,2025,24,Premiership
Jamie McCart,28.0,Scotland,Heart of Midl.,2024,2025,12,Premiership
Gary Oliver,30.0,Scotland,Falkirk,2025,2025,2,Premiership
Andy Halliday,34.0,Scotland,Motherwell FC,2023,2025,46,Premiership
Callum Osmand,19.0,Wales,Celtic,2025,2025,1,Premiership
Luca Ross,19.0,Scotland,Motherwell FC,2025,2025,1,Premiership
Luca Ross,16.0,Scotland,Motherwell FC,2022,2023,2,Premiership
Dylan Lobban,20.0,Scotland,Aberdeen FC,2025,2025,1,Premiership
Jefté,21.0,Brazil,Rangers,2024,2025,30,Premiership
Óscar Cortés,21.0,Colombia,Rangers,2023,2025,15,Premiership
Isaac Pappoe,21.0,Ghana,Dundee United,2025,2025,1,Premiership
Jalmaro Calvin,22.0,Antigua and Barbuda,St. Mirren,2025,2025,1,Premiership
Hayato Inamura,23.0,Japan,Celtic,2025,2025,1,Premiership
Nicky Hogarth,24.0,Scotland,Falkirk,2025,2025,1,Premiership
Kristers Tobers,24.0,Latvia,Aberdeen FC,2024,2025,9,Premiership
Zak Rudden,25.0,Scotland,Livingston FC,2025,2025,1,Premiership
Jack Thomson,25.0,Scotland,Kilmarnock FC,2025,2025,1,Premiership
Oisin Smyth,25.0,Northern Ireland,St. Mirren,2024,2025,19,Premiership
Christian Borchgrevink,26.0,Norway,Heart of Midl.,2025,2025,1,Premiership
Max Watters,26.0,England,Dundee United,2025,2025,1,Premiership
Sean Mackie,27.0,Scotland,Falkirk,2025,2025,1,Premiership
Alasana Manneh,27.0,The Gambia,Hibernian FC,2024,2025,3,Premiership
Ryan Strain,28.0,Australia,Dundee United,2024,2025,25,Premiership
Jack Walton,26.0,England,Dundee United,2024,2024,33,Premiership
Akil Wright,28.0,England,Ross County,2024,2024,33,Premiership
Jordan White,32.0,Scotland,Ross County,2021,2024,132,Premiership
Connor Randall,28.0,England,Ross County,2020,2024,112,Premiership
Mohamad Sylla,30.0,France,Dundee FC,2023,2024,52,Premiership
Luke McCowan,26.0,Scotland,Dundee FC,2023,2024,64,Premiership
Luke McCowan,23.0,Scotland,Dundee FC,2021,2021,24,Premiership
Craig Gordon,41.0,Scotland,Heart of Midl.,2021,2024,80,Premiership
Craig Gordon,23.0,Scotland,Heart of Midl.,2002,2006,138,Premiership
Ronan Hale,25.0,Northern Ireland,Ross County,2024,2024,31,Premiership
Joshua Nisbet,25.0,Australia,Ross County,2024,2024,31,Premiership
Corrie Ndaba,24.0,Ireland,Kilmarnock FC,2023,2024,54,Premiership
Toyosi Olusanya,26.0,England,St. Mirren,2022,2024,62,Premiership
Drey Wright,29.0,England,St. Johnstone,2022,2024,68,Premiership
Drey Wright,24.0,England,St. Johnstone,2018,2019,36,Premiership
Ellery Balcombe,24.0,England,St. Mirren,2024,2024,31,Premiership
Lewis Miller,23.0,Australia,Hibernian FC,2022,2024,59,Premiership
Makenzie Kirk,20.0,Northern Ireland,St. Johnstone,2024,2024,30,Premiership
Noah Chilvers,23.0,England,Ross County,2024,2024,30,Premiership
Sam Dalby,24.0,England,Dundee United,2024,2024,30,Premiership
James Penrice,25.0,Scotland,Heart of Midl.,2024,2024,30,Premiership
Scott Tiffoney,25.0,Scotland,Dundee FC,2023,2024,54,Premiership
Declan Gallagher,33.0,Scotland,Dundee United,2024,2024,30,Premiership
Graham Carey,35.0,Ireland,St. Johnstone,2022,2024,86,Premiership
Jort van der Sande,28.0,Bonaire,Dundee United,2024,2024,29,Premiership
Josh Mulligan,21.0,Scotland,Dundee FC,2023,2024,43,Premiership
Josh Mulligan,18.0,Scotland,Dundee FC,2021,2021,6,Premiership
Hamza Igamane,21.0,Morocco,Rangers,2024,2024,29,Premiership
Nectarios Triantis,21.0,Greece,Hibernian FC,2023,2024,39,Premiership
Richard Taylor,23.0,England,St. Mirren,2022,2024,59,Premiership
Dan Casey,26.0,Ireland,Motherwell FC,2022,2024,62,Premiership
Vaclav Cerny,26.0,Czech Republic,Rangers,2024,2024,28,Premiership
Lyall Cameron,21.0,Scotland,Dundee FC,2023,2024,56,Premiership
Emmanuel Adegboyega,20.0,Ireland,Dundee United,2024,2024,28,Premiership
Seb Palmer-Houlden,20.0,England,Dundee FC,2024,2024,28,Premiership
Nicolas Kühn,24.0,Germany,Celtic,2023,2024,37,Premiership
Fraser Murray,25.0,Scotland,Kilmarnock FC,2022,2024,59,Premiership
Danny Armstrong,26.0,Scotland,Kilmarnock FC,2022,2024,93,Premiership
Sven Sprangler,29.0,Austria,St. Johnstone,2023,2024,47,Premiership
Joe Wright,29.0,Wales,Kilmarnock FC,2022,2024,83,Premiership
Nicky Clark,33.0,Scotland,St. Johnstone,2023,2024,44,Premiership
Kenneth Vargas,22.0,Costa Rica,Heart of Midl.,2023,2024,56,Premiership
Lennon Miller,17.0,Scotland,Motherwell FC,2022,2024,49,Premiership
Ewan Wilson,19.0,Scotland,Motherwell FC,2024,2024,27,Premiership
Adama Sidibeh,26.0,The Gambia,St. Johnstone,2023,2024,37,Premiership
Kacper Lopata,22.0,Poland,Ross County,2024,2024,27,Premiership
Jorge Grant,29.0,England,Heart of Midl.,2022,2024,77,Premiership
James Brown,26.0,Ireland,Ross County,2023,2024,55,Premiership
Greg Kiltie,27.0,Scotland,St. Mirren,2021,2024,110,Premiership
Oluwaseun Adewumi,19.0,Austria,Dundee FC,2024,2024,25,Premiership
Elvis Bwomono,25.0,Uganda,St. Mirren,2023,2024,36,Premiership
Benjamin Kimpioka,24.0,Sweden,St. Johnstone,2023,2024,37,Premiership
