player_name,age,nationality,team_name,start_year,end_year,appearances,league_name,image_url
Dani Requena,21,Spain,Córdoba CF,2025,2025,12,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Souleymane Faye,22,Senegal,Granada CF,2025,2025,12,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Jorge Pascual,22,Spain,Granada CF,2025,2025,12,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/669511-1698947254.jpg?lm=1
Rodri Suárez,22,Spain,CyD Leonesa,2025,2025,12,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/852913-1732224136.jpg?lm=1
Dani Barcia,22,Spain,Dep. La Coruña,2024,2025,28,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/857949-1702404739.jpg?lm=1
Moussa Diakité,22,Mali,Cádiz CF,2024,2025,34,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
David González,23,Spain,Burgos CF,2024,2025,41,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/634267-1725880347.jpg?lm=1
David González,21,Spain,Burgos CF,2001,2001,1,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Leonardo Buta,23,Portugal,SD Eibar,2025,2025,12,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/653415-1710239705.jpg?lm=1
Pedro Alemañ,23,Spain,Granada CF,2025,2025,12,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/699771-1694855865.jpg?lm=1
Gael Alonso,23,Spain,FC Andorra,2025,2025,12,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Naim García,23,Spain,CD Leganés,2025,2025,12,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/715683-1698881493.jpg?lm=1
Naim García,21,Spain,CD Leganés,2023,2023,10,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/715683-1698881493.jpg?lm=1
Naim García,19,Spain,CD Leganés,2021,2021,24,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/715683-1698881493.jpg?lm=1
Nacho Martín,23,Spain,Sporting Gijón,2022,2025,85,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/719722-1760543314.jpg?lm=1
Mario Climent,23,Spain,Cádiz CF,2024,2025,33,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/720526-1732141963.jpg?lm=1
Guille Bueno,23,Spain,Real Valladolid,2025,2025,12,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/854079-1657285624.jpg?lm=1
Álvaro García Pascual,23,Spain,Cádiz CF,2025,2025,12,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/1305792-1747213987.jpg?lm=1
