player_name,age,nationality,team_name,start_year,end_year,appearances,league_name
Breel Embolo,28.0,Switzerland,Stade Rennais,2025,2025,8,Ligue 1
Rudy Matondo,17.0,France,AJ Auxerre,2024,2025,13,Ligue 1
Marius Courcoul,18.0,France,Angers SCO,2024,2025,16,Ligue 1
Leonardo Balerdi,26.0,Argentina,Marseille,2020,2025,135,Ligue 1
Ngal'ayel Mukau,21.0,DR Congo,Lille,2024,2025,30,Ligue 1
Matt O'Riley,24.0,Denmark,Marseille,2025,2025,8,Ligue 1
Ally Samatta,32.0,Tanzania,Le Havre AC,2025,2025,8,Ligue 1
Lucas Høgsberg,19.0,Denmark,R. Strasbourg,2025,2025,8,Ligue 1
Nhoa Sangui,19.0,France,Paris FC,2025,2025,8,Ligue 1
Salis Abdul Samed,25.0,Ghana,Nice,2025,2025,8,Ligue 1
Alidu Seidu,25.0,Ghana,Stade Rennais,2023,2025,44,Ligue 1
Charles Vanhoutte,27.0,Belgium,Nice,2025,2025,8,Ligue 1
Habib Diallo,30.0,Senegal,FC Metz,2025,2025,8,Ligue 1
Habib Diallo,25.0,Senegal,FC Metz,2019,2020,62,Ligue 1
Habib Diallo,22.0,Senegal,FC Metz,2016,2017,20,Ligue 1
Senny Mayulu,19.0,France,PSG,2023,2025,36,Ligue 1
Mamadou Sarr,20.0,Senegal,R. Strasbourg,2024,2025,35,Ligue 1
Santiago Hidalgo,20.0,Argentina,Toulouse,2025,2025,8,Ligue 1
Bilal Nadir,21.0,Morocco,Marseille,2023,2025,28,Ligue 1
Mamadou Coulibaly,21.0,France,Monaco,2023,2025,14,Ligue 1
Kassoum Ouattara,21.0,France,Monaco,2023,2025,34,Ligue 1
Giorgi Abuashvili,22.0,Georgia,FC Metz,2025,2025,8,Ligue 1
Ismaël Doukouré,22.0,France,R. Strasbourg,2021,2025,90,Ligue 1
Yassine Benhattab,22.0,France,FC Nantes,2025,2025,8,Ligue 1
Pablo Pagis,22.0,France,FC Lorient,2025,2025,8,Ligue 1
Pablo Pagis,20.0,France,FC Lorient,2023,2023,3,Ligue 1
Pathé Mboup,22.0,Senegal,Stade Brestois,2025,2025,8,Ligue 1
Isak Jansson,23.0,Sweden,Nice,2025,2025,8,Ligue 1
Fredrik Oppegård,23.0,Norway,AJ Auxerre,2024,2025,17,Ligue 1
Felix Mambimbi,24.0,Switzerland,Le Havre AC,2025,2025,8,Ligue 1
Junior Dina Ebimbe,24.0,France,Stade Brestois,2025,2025,8,Ligue 1
Hyeok-kyu Kwon,24.0,"Korea, South",FC Nantes,2025,2025,8,Ligue 1
Boubacar Traoré,24.0,Mali,FC Metz,2025,2025,8,Ligue 1
Boubacar Traoré,19.0,Mali,FC Metz,2020,2021,29,Ligue 1
Himad Abdelli,25.0,Algeria,Angers SCO,2024,2025,40,Ligue 1
Himad Abdelli,22.0,Algeria,Angers SCO,2022,2022,30,Ligue 1
Igor Paixão,25.0,Brazil,Marseille,2025,2025,8,Ligue 1
Jean-Victor Makengo,27.0,France,FC Lorient,2025,2025,8,Ligue 1
Jean-Victor Makengo,25.0,France,FC Lorient,2022,2023,26,Ligue 1
Thibault De Smet,27.0,Belgium,Paris FC,2025,2025,8,Ligue 1
Odsonne Édouard,27.0,France,Lens,2025,2025,8,Ligue 1
Benjamin Pavard,29.0,France,Marseille,2025,2025,8,Ligue 1
Yvon Mvogo,31.0,Switzerland,FC Lorient,2025,2025,8,Ligue 1
Yvon Mvogo,29.0,Switzerland,FC Lorient,2022,2023,55,Ligue 1
Emerson,31.0,Italy,Marseille,2025,2025,8,Ligue 1
Younes Namli,31.0,Denmark,Le Havre AC,2025,2025,8,Ligue 1
Jonathan Clauss,33.0,France,Nice,2024,2025,36,Ligue 1
Willian Pacho,24.0,Ecuador,PSG,2024,2025,35,Ligue 1
Krépin Diatta,26.0,Senegal,Monaco,2020,2025,103,Ligue 1
Thomas Meunier,34.0,Belgium,Lille,2024,2025,37,Ligue 1
Alexis Vossah,17.0,France,Toulouse,2025,2025,7,Ligue 1
Guéla Doué,23.0,Cote d'Ivoire,R. Strasbourg,2024,2025,39,Ligue 1
Nayef Aguerd,29.0,Morocco,Marseille,2025,2025,7,Ligue 1
Mama Baldé,30.0,Guinea-Bissau,Stade Brestois,2025,2025,7,Ligue 1
Samuel Amo-Ameyaw,19.0,England,R. Strasbourg,2024,2025,16,Ligue 1
Noah Edjouma,20.0,France,Toulouse,2024,2025,17,Ligue 1
Lucas Beraldo,21.0,Brazil,PSG,2023,2025,45,Ligue 1
Junior Diaz,22.0,Cote d'Ivoire,Stade Brestois,2025,2025,7,Ligue 1
Terem Moffi,26.0,Nigeria,Nice,2022,2025,76,Ligue 1
Przemyslaw Frankowski,30.0,Poland,Stade Rennais,2025,2025,7,Ligue 1
Hamidou Makalou,19.0,Mali,Stade Brestois,2024,2025,11,Ligue 1
Emersonn,21.0,Brazil,Toulouse,2025,2025,7,Ligue 1
Abdoulaye Faye,21.0,Senegal,FC Lorient,2025,2025,7,Ligue 1
Martial Godo,22.0,Cote d'Ivoire,R. Strasbourg,2025,2025,7,Ligue 1
Ansu Fati,23.0,Spain,Monaco,2025,2025,7,Ligue 1
Andrew Omobamidele,23.0,Ireland,R. Strasbourg,2024,2025,17,Ligue 1
Abu Francis,24.0,Ghana,Toulouse,2025,2025,7,Ligue 1
Anthony Rouault,24.0,France,Stade Rennais,2024,2025,18,Ligue 1
Dominik Greif,28.0,Slovakia,Lyon,2025,2025,7,Ligue 1
